Date,AAPL,GOOGL,MSFT,NVDA,XOM,CVX,COP,JPM,BAC,GS,JNJ,PFE,MRK,KO,PG,PEP,UNP,CAT,LIN,NEM,NEE,DUK
2022-10-26,147.38897705078125,94.47830200195312,226.4913787841797,12.882145881652832,98.504150390625,160.3251495361328,116.62107849121094,116.3851318359375,33.356075286865234,314.0549011230469,159.69187927246094,40.500267028808594,91.78157806396484,55.06751251220703,123.86354064941406,166.1567840576172,184.66908264160156,188.36122131347656,285.3620910644531,40.32561492919922,70.50167846679688,81.95011138916016
2022-10-27,142.89869689941406,91.78119659423828,222.01673889160156,13.161843299865723,98.88111877441406,161.0585174560547,116.68557739257812,116.84464263916016,33.51490783691406,315.4488830566406,159.7845916748047,40.21889114379883,93.0219955444336,55.19732666015625,123.9575424194336,165.98048400878906,184.91429138183594,202.87847900390625,283.83282470703125,39.67148971557617,70.38046264648438,82.15766906738281
2022-10-28,153.695068359375,95.83183288574219,230.94638061523438,13.819137573242188,101.77720642089844,162.9416046142578,117.17390441894531,118.2325210571289,33.8045654296875,319.7898864746094,162.15850830078125,41.704898834228516,93.98262786865234,56.337799072265625,127.09691619873047,169.0889129638672,187.37619018554688,209.76414489746094,292.0982971191406,39.48722839355469,73.70037078857422,84.82890319824219
2022-10-31,151.3265838623047,94.060302734375,227.28443908691406,13.482499122619629,101.87833404541016,163.77452087402344,116.17880249023438,118.04496002197266,33.67375946044922,322.3064880371094,161.32391357421875,40.93111801147461,94.38365173339844,55.49402618408203,126.5799560546875,168.4857940673828,185.951904296875,207.00985717773438,287.79144287109375,38.989715576171875,72.27354431152344,84.08887481689453
2022-11-01,148.6719207763672,90.0395278930664,223.40711975097656,13.528450965881348,102.88968658447266,164.9695587158203,117.73595428466797,120.17366790771484,33.82325744628906,326.1141357421875,160.50787353515625,42.21488952636719,93.0406494140625,55.29931640625,126.77733612060547,167.72491455078125,185.65005493164062,208.9608154296875,288.5850524902344,38.4277229309082,72.46939086914062,84.59425354003906
2022-11-02,143.12567138671875,86.5561752319336,215.50558471679688,13.204798698425293,100.7750473022461,161.60171508789062,116.5657958984375,119.06712341308594,33.72047805786133,327.2462158203125,158.04124450683594,41.38835144042969,92.70489501953125,54.52972412109375,124.95388793945312,165.3866729736328,181.60350036621094,205.17367553710938,284.87811279296875,36.41926956176758,72.0683822631836,83.81816864013672
2022-11-03,137.0564422607422,83.03302764892578,209.77767944335938,13.406582832336426,102.14497375488281,163.9827117919922,123.30118560791016,119.28279876708984,33.53360366821289,326.385498046875,158.3101806640625,41.29966735839844,92.09867095947266,54.50190734863281,124.09854888916016,164.95982360839844,182.22605895996094,209.68763732910156,288.0333251953125,34.816200256347656,72.90768432617188,84.125
2022-11-04,136.78953552246094,86.16804504394531,216.76864624023438,14.140793800354004,103.25743865966797,166.05592346191406,121.91912841796875,122.54619598388672,34.37451934814453,334.8428649902344,159.01492309570312,41.87610626220703,92.51835632324219,54.94697189331055,126.36376190185547,165.88771057128906,185.53684997558594,217.90260314941406,298.9991455078125,37.764373779296875,73.48588562011719,84.47693634033203
2022-11-07,137.32337951660156,88.0689468383789,223.1133575439453,14.285635948181152,104.48023223876953,168.0386199951172,124.33313751220703,123.1932601928711,34.580074310302734,339.1931457519531,160.4058837890625,41.76081848144531,93.32978057861328,55.16024398803711,128.3000030517578,167.214599609375,185.1595458984375,218.6294708251953,303.41253662109375,38.06840896606445,72.07772064208984,83.23159790039062
2022-11-08,137.8966522216797,88.47699737548828,224.09249877929688,14.586313247680664,104.81121826171875,167.79417419433594,123.8724594116211,123.26826477050781,34.673500061035156,340.55908203125,161.20338439941406,41.99139404296875,94.66343688964844,55.262229919433594,128.5913543701172,167.6785430908203,192.43199157714844,219.77703857421875,304.59332275390625,40.30718994140625,72.99163055419922,84.10694122314453
2022-11-09,133.31988525390625,86.90451049804688,219.82351684570312,13.761198997497559,100.1222915649414,161.08566284179688,115.41404724121094,121.66471862792969,34.12224197387695,338.6692199707031,159.9143829345703,41.43269348144531,94.74738311767578,54.492637634277344,128.2812042236328,165.67430114746094,191.86605834960938,215.69346618652344,304.33203125,39.92023849487305,72.92633819580078,84.33255004882812
2022-11-10,145.1819610595703,93.49302673339844,237.90794372558594,15.73307991027832,101.59333038330078,164.1366424560547,119.28390502929688,126.67232513427734,35.62653732299805,353.9280090332031,161.78756713867188,42.018001556396484,95.02717590332031,56.44906997680664,132.69886779785156,168.5971221923828,200.90235900878906,222.30178833007812,317.8141784667969,42.75786590576172,77.58914947509766,87.6264419555664
2022-11-11,147.97943115234375,95.95126342773438,241.95175170898438,16.309459686279297,104.76524353027344,168.8081512451172,123.43019104003906,126.8786392211914,35.888153076171875,360.3459777832031,156.94700622558594,42.21310043334961,91.36189270019531,56.85704040527344,132.50148010253906,165.21035766601562,205.1564178466797,226.16543579101562,319.604736328125,42.86842346191406,77.69174194335938,85.88473510742188
2022-11-14,146.57577514648438,95.24463653564453,236.50782775878906,16.277496337890625,105.07109069824219,168.88961791992188,123.04171752929688,125.57518005371094,35.28083038330078,357.71697998046875,159.41366577148438,43.667503356933594,93.59091186523438,56.30998611450195,132.51087951660156,163.98553466796875,204.6376190185547,226.17498779296875,321.40496826171875,42.64731216430664,76.15299987792969,86.13742065429688
2022-11-15,148.31552124023438,97.97160339355469,236.9190673828125,16.64809226989746,105.77544403076172,170.2476348876953,124.02214050292969,124.66551971435547,35.22476577758789,358.2035217285156,159.85877990722656,43.073333740234375,92.89141845703125,56.21726608276367,132.05032348632812,164.412353515625,198.70460510253906,224.348388671875,321.8694763183594,42.09452438354492,77.31871032714844,87.65350341796875
2022-11-16,147.07992553710938,98.37965393066406,237.35107421875,15.89291000366211,104.64476776123047,167.477294921875,119.53629302978516,124.83434295654297,34.90708923339844,357.6889953613281,160.8509979248047,42.612178802490234,93.1991958618164,56.115272521972656,133.22523498535156,165.47015380859375,200.2232208251953,222.27310180664062,323.0019226074219,41.910274505615234,78.63362121582031,88.38449096679688
2022-11-17,148.98773193359375,97.89198303222656,237.3019561767578,15.660158157348633,104.78377532958984,167.95172119140625,121.33988189697266,124.29042053222656,34.72956085205078,355.3033142089844,162.1492462158203,42.86049270629883,95.41889190673828,56.291439056396484,132.40750122070312,167.0475616455078,197.91229248046875,220.37953186035156,319.7209167480469,41.154788970947266,76.7964859008789,87.09429168701172
2022-11-18,149.55116271972656,96.9664077758789,236.85032653808594,15.392447471618652,103.8755111694336,166.94815063476562,118.93509674072266,125.50952911376953,34.74824905395508,354.7607421875,163.39181518554688,42.77180480957031,97.2095718383789,56.69014358520508,134.00537109375,168.25381469726562,198.62911987304688,221.32632446289062,324.1440124511719,41.57858657836914,77.58914947509766,88.25226593017578
